hkl,h,k,l,E_B_min
[-1  1 -1],-1,1,-1,2980.542675624341
[-1  1  1],-1,1,1,2980.542675624341
[-1 -1 -1],-1,-1,-1,2980.542675624341
[-1 -1  1],-1,-1,1,2980.542675624341
[-2 -2  0],-2,-2,0,4867.205807912902
[ 0 -2  2],0,-2,2,4867.205807912902
[ 0 -2 -2],0,-2,-2,4867.205807912902
[-2  0 -2],-2,0,-2,4867.205807912902
[-2  0  2],-2,0,2,4867.205807912902
[-2  2  0],-2,2,0,4867.205807912902
[-1  1 -3],-1,1,-3,5707.3047069347
[-1  1  3],-1,1,3,5707.3047069347
[-1 -1 -3],-1,-1,-3,5707.3047069347
[-1 -3  1],-1,-3,1,5707.3047069347
[-1 -3 -1],-1,-3,-1,5707.3047069347
[-1  3  1],-1,3,1,5707.3047069347
[-3  1  1],-3,1,1,5707.3047069347
[-3  1 -1],-3,1,-1,5707.3047069347
[-3 -1  1],-3,-1,1,5707.3047069347
[-3 -1 -1],-3,-1,-1,5707.3047069347
[-1  3 -1],-1,3,-1,5707.3047069347
[-1 -1  3],-1,-1,3,5707.3047069347
[-4  0  0],-4,0,0,6883.2684644115225
[ 0  0 -4],0,0,-4,6883.2684644115225
[ 0 -4  0],0,-4,0,6883.2684644115225
[-3  1  3],-3,1,3,7500.867909407556
[-3 -3  1],-3,-3,1,7500.867909407556
[-3 -1 -3],-3,-1,-3,7500.867909407556
[-1  3  3],-1,3,3,7500.867909407556
[-1  3 -3],-1,3,-3,7500.867909407556
[-1 -3 -3],-1,-3,-3,7500.867909407556
[-3 -1  3],-3,-1,3,7500.867909407556
[-3  1 -3],-3,1,-3,7500.867909407556
[-3  3  1],-3,3,1,7500.867909407556
[-3  3 -1],-3,3,-1,7500.867909407556
[-1 -3  3],-1,-3,3,7500.867909407556
[-3 -3 -1],-3,-3,-1,7500.867909407556
[-2  2 -4],-2,2,-4,8430.24775019947
[-2 -4 -2],-2,-4,-2,8430.24775019947
[-2 -4  2],-2,-4,2,8430.24775019947
[-2 -2 -4],-2,-2,-4,8430.24775019947
[-2 -2  4],-2,-2,4,8430.24775019947
[-2  2  4],-2,2,4,8430.24775019947
[-2  4 -2],-2,4,-2,8430.24775019947
[-2  4  2],-2,4,2,8430.24775019947
[-4  2  2],-4,2,2,8430.24775019947
[-4  2 -2],-4,2,-2,8430.24775019947
[-4 -2  2],-4,-2,2,8430.24775019947
[-4 -2 -2],-4,-2,-2,8430.24775019947
[-3 -3  3],-3,-3,3,8941.628026873022
[-3 -3 -3],-3,-3,-3,8941.628026873022
[-5  1  1],-5,1,1,8941.628026873022
[-5  1 -1],-5,1,-1,8941.628026873022
[-5 -1  1],-5,-1,1,8941.628026873022
[-5 -1 -1],-5,-1,-1,8941.628026873022
[-1 -1  5],-1,-1,5,8941.628026873022
[-1  1 -5],-1,1,-5,8941.628026873022
[-1  5  1],-1,5,1,8941.628026873022
[-3  3 -3],-3,3,-3,8941.628026873022
[-1  1  5],-1,1,5,8941.628026873022
[-1 -1 -5],-1,-1,-5,8941.628026873022
[-1 -5  1],-1,-5,1,8941.628026873022
[-1  5 -1],-1,5,-1,8941.628026873022
[-1 -5 -1],-1,-5,-1,8941.628026873022
[-3  3  3],-3,3,3,8941.628026873022
[ 0 -4 -4],0,-4,-4,9734.411615825804
[-4 -4  0],-4,-4,0,9734.411615825804
[-4  0 -4],-4,0,-4,9734.411615825804
[-4  0  4],-4,0,4,9734.411615825804
[-4  4  0],-4,4,0,9734.411615825804
[ 0 -4  4],0,-4,4,9734.411615825804
[-1 -5 -3],-1,-5,-3,10180.491350988037
[-1  5  3],-1,5,3,10180.491350988037
[-1  3 -5],-1,3,-5,10180.491350988037
[-5 -1  3],-5,-1,3,10180.491350988037
[-5  1 -3],-5,1,-3,10180.491350988037
[-3  5  1],-3,5,1,10180.491350988037
[-1 -3  5],-1,-3,5,10180.491350988037
[-5  1  3],-5,1,3,10180.491350988037
[-5  3 -1],-5,3,-1,10180.491350988037
[-5  3  1],-5,3,1,10180.491350988037
[-1  3  5],-1,3,5,10180.491350988037
[-5 -1 -3],-5,-1,-3,10180.491350988037
[-1 -5  3],-1,-5,3,10180.491350988037
[-3 -1 -5],-3,-1,-5,10180.491350988037
[-3  5 -1],-3,5,-1,10180.491350988037
[-3 -1  5],-3,-1,5,10180.491350988037
[-3  1 -5],-3,1,-5,10180.491350988037
[-3  1  5],-3,1,5,10180.491350988037
[-1  5 -3],-1,5,-3,10180.491350988037
[-3 -5 -1],-3,-5,-1,10180.491350988037
[-3 -5  1],-3,-5,1,10180.491350988037
[-1 -3 -5],-1,-3,-5,10180.491350988037
[-5 -3  1],-5,-3,1,10180.491350988037
[-5 -3 -1],-5,-3,-1,10180.491350988037
[ 0 -2  6],0,-2,6,10883.403046975032
[ 0 -2 -6],0,-2,-6,10883.403046975032
[-2  0  6],-2,0,6,10883.403046975032
[-2  0 -6],-2,0,-6,10883.403046975032
[-2 -6  0],-2,-6,0,10883.403046975032
[ 0 -6  2],0,-6,2,10883.403046975032
[ 0 -6 -2],0,-6,-2,10883.403046975032
[-6  2  0],-6,2,0,10883.403046975032
[-6 -2  0],-6,-2,0,10883.403046975032
[-6  0 -2],-6,0,-2,10883.403046975032
[-2  6  0],-2,6,0,10883.403046975032
[-6  0  2],-6,0,2,10883.403046975032
[-3  5 -3],-3,5,-3,11284.152450411297
[-5 -3  3],-5,-3,3,11284.152450411297
[-3  5  3],-3,5,3,11284.152450411297
[-3  3 -5],-3,3,-5,11284.152450411297
[-3  3  5],-3,3,5,11284.152450411297
[-3 -3  5],-3,-3,5,11284.152450411297
[-3 -3 -5],-3,-3,-5,11284.152450411297
[-3 -5  3],-3,-5,3,11284.152450411297
[-3 -5 -3],-3,-5,-3,11284.152450411297
[-5  3  3],-5,3,3,11284.152450411297
[-5 -3 -3],-5,-3,-3,11284.152450411297
[-5  3 -3],-5,3,-3,11284.152450411297
[-4 -4  4],-4,-4,4,11922.170702497364
[-4  4 -4],-4,4,-4,11922.170702497364
[-4  4  4],-4,4,4,11922.170702497364
[-4 -4 -4],-4,-4,-4,11922.170702497364
[-1 -7 -1],-1,-7,-1,12289.092273260234
[-1 -7  1],-1,-7,1,12289.092273260234
[-5 -1 -5],-5,-1,-5,12289.092273260234
[-1 -5 -5],-1,-5,-5,12289.092273260234
[-1 -5  5],-1,-5,5,12289.092273260234
[-5 -1  5],-5,-1,5,12289.092273260234
[-5  5  1],-5,5,1,12289.092273260234
[-5  5 -1],-5,5,-1,12289.092273260234
[-1 -1 -7],-1,-1,-7,12289.092273260234
[-1 -1  7],-1,-1,7,12289.092273260234
[-5 -5 -1],-5,-5,-1,12289.092273260234
[-1  1  7],-1,1,7,12289.092273260234
[-5 -5  1],-5,-5,1,12289.092273260234
[-1  1 -7],-1,1,-7,12289.092273260234
