hkl,h,k,l,E_B_min
[-7 -1  1],-7,-1,1,12289.092273260234
[-1  7  1],-1,7,1,12289.092273260234
[-1  7 -1],-1,7,-1,12289.092273260234
[-5  1  5],-5,1,5,12289.092273260234
[-1  5 -5],-1,5,-5,12289.092273260234
[-1  5  5],-1,5,5,12289.092273260234
[-7  1  1],-7,1,1,12289.092273260234
[-7  1 -1],-7,1,-1,12289.092273260234
[-7 -1 -1],-7,-1,-1,12289.092273260234
[-5  1 -5],-5,1,-5,12289.092273260234
[-6 -2 -4],-6,-2,-4,12877.416147506749
[-6  4 -2],-6,4,-2,12877.416147506749
[-6 -2  4],-6,-2,4,12877.416147506749
[-4 -6 -2],-4,-6,-2,12877.416147506749
[-2  6 -4],-2,6,-4,12877.416147506749
[-2  4  6],-2,4,6,12877.416147506749
[-2 -6  4],-2,-6,4,12877.416147506749
[-2 -4 -6],-2,-4,-6,12877.416147506749
[-2  4 -6],-2,4,-6,12877.416147506749
[-2 -4  6],-2,-4,6,12877.416147506749
[-6  4  2],-6,4,2,12877.416147506749
[-4 -6  2],-4,-6,2,12877.416147506749
[-2 -6 -4],-2,-6,-4,12877.416147506749
[-2  6  4],-2,6,4,12877.416147506749
[-6  2  4],-6,2,4,12877.416147506749
[-4 -2 -6],-4,-2,-6,12877.416147506749
[-6  2 -4],-6,2,-4,12877.416147506749
[-4  2 -6],-4,2,-6,12877.416147506749
[-4 -2  6],-4,-2,6,12877.416147506749
[-4  6 -2],-4,6,-2,12877.416147506749
[-4  2  6],-4,2,6,12877.416147506749
[-4  6  2],-4,6,2,12877.416147506749
[-6 -4  2],-6,-4,2,12877.416147506749
[-6 -4 -2],-6,-4,-2,12877.416147506749
[-3 -5 -5],-3,-5,-5,13217.847074213161
[-7 -1  3],-7,-1,3,13217.847074213161
[-7  3 -1],-7,3,-1,13217.847074213161
[-5 -3  5],-5,-3,5,13217.847074213161
[-7  1 -3],-7,1,-3,13217.847074213161
[-7  1  3],-7,1,3,13217.847074213161
[-3  7  1],-3,7,1,13217.847074213161
[-3  7 -1],-3,7,-1,13217.847074213161
[-3  5 -5],-3,5,-5,13217.847074213161
[-3  5  5],-3,5,5,13217.847074213161
[-3 -5  5],-3,-5,5,13217.847074213161
[-3  1  7],-3,1,7,13217.847074213161
[-3  1 -7],-3,1,-7,13217.847074213161
[-7 -3  1],-7,-3,1,13217.847074213161
[-7 -3 -1],-7,-3,-1,13217.847074213161
[-3 -1  7],-3,-1,7,13217.847074213161
[-3 -1 -7],-3,-1,-7,13217.847074213161
[-3 -7 -1],-3,-7,-1,13217.847074213161
[-7 -1 -3],-7,-1,-3,13217.847074213161
[-3 -7  1],-3,-7,1,13217.847074213161
[-7  3  1],-7,3,1,13217.847074213161
[-1 -7  3],-1,-7,3,13217.847074213161
[-1 -7 -3],-1,-7,-3,13217.847074213161
[-5  5  3],-5,5,3,13217.847074213161
[-5 -3 -5],-5,-3,-5,13217.847074213161
[-1 -3 -7],-1,-3,-7,13217.847074213161
[-1 -3  7],-1,-3,7,13217.847074213161
[-5  5 -3],-5,5,-3,13217.847074213161
[-5  3 -5],-5,3,-5,13217.847074213161
[-1  3 -7],-1,3,-7,13217.847074213161
[-5 -5 -3],-5,-5,-3,13217.847074213161
[-5  3  5],-5,3,5,13217.847074213161
[-1  7 -3],-1,7,-3,13217.847074213161
[-5 -5  3],-5,-5,3,13217.847074213161
[-1  7  3],-1,7,3,13217.847074213161
[-1  3  7],-1,3,7,13217.847074213161
[ 0  0 -8],0,0,-8,13766.536928823045
[-8  0  0],-8,0,0,13766.536928823045
[ 0 -8  0],0,-8,0,13766.536928823045
[-7  3  3],-7,3,3,14085.49515117827
[-3 -3  7],-3,-3,7,14085.49515117827
[-3 -3 -7],-3,-3,-7,14085.49515117827
[-3  3 -7],-3,3,-7,14085.49515117827
[-3 -7  3],-3,-7,3,14085.49515117827
[-7  3 -3],-7,3,-3,14085.49515117827
[-7 -3  3],-7,-3,3,14085.49515117827
[-3 -7 -3],-3,-7,-3,14085.49515117827
[-7 -3 -3],-7,-3,-3,14085.49515117827
[-3  7 -3],-3,7,-3,14085.49515117827
[-3  7  3],-3,7,3,14085.49515117827
[-3  3  7],-3,3,7,14085.49515117827
[-2  8 -2],-2,8,-2,14601.617423738704
[ 0 -6  6],0,-6,6,14601.617423738704
[-2  8  2],-2,8,2,14601.617423738704
[-6  6  0],-6,6,0,14601.617423738704
[-2 -8 -2],-2,-8,-2,14601.617423738704
[-2  2  8],-2,2,8,14601.617423738704
[-8  2 -2],-8,2,-2,14601.617423738704
[-8  2  2],-8,2,2,14601.617423738704
[-2 -8  2],-2,-8,2,14601.617423738704
[-8 -2  2],-8,-2,2,14601.617423738704
[-8 -2 -2],-8,-2,-2,14601.617423738704
[-2 -2  8],-2,-2,8,14601.617423738704
[ 0 -6 -6],0,-6,-6,14601.617423738704
[-6 -6  0],-6,-6,0,14601.617423738704
[-2 -2 -8],-2,-2,-8,14601.617423738704
[-6  0  6],-6,0,6,14601.617423738704
[-6  0 -6],-6,0,-6,14601.617423738704
[-2  2 -8],-2,2,-8,14601.617423738704
[-1  5  7],-1,5,7,14902.713378121707
[-5 -5 -5],-5,-5,-5,14902.713378121707
[-7 -1 -5],-7,-1,-5,14902.713378121707
[-7  1 -5],-7,1,-5,14902.713378121707
[-1  7 -5],-1,7,-5,14902.713378121707
[-5  5 -5],-5,5,-5,14902.713378121707
[-5 -7 -1],-5,-7,-1,14902.713378121707
[-5 -5  5],-5,-5,5,14902.713378121707
[-5  7  1],-5,7,1,14902.713378121707
[-5 -1 -7],-5,-1,-7,14902.713378121707
[-7  1  5],-7,1,5,14902.713378121707
[-5 -1  7],-5,-1,7,14902.713378121707
[-5  7 -1],-5,7,-1,14902.713378121707
[-1 -5  7],-1,-5,7,14902.713378121707
[-1 -5 -7],-1,-5,-7,14902.713378121707
[-1  7  5],-1,7,5,14902.713378121707
[-7  5 -1],-7,5,-1,14902.713378121707
[-7 -5  1],-7,-5,1,14902.713378121707
[-7 -5 -1],-7,-5,-1,14902.713378121707
[-7  5  1],-7,5,1,14902.713378121707
[-5  5  5],-5,5,5,14902.713378121707
[-1 -7  5],-1,-7,5,14902.713378121707
[-5 -7  1],-5,-7,1,14902.713378121707
[-5  1 -7],-5,1,-7,14902.713378121707
[-5  1  7],-5,1,7,14902.713378121707
[-1 -7 -5],-1,-7,-5,14902.713378121707
[-1  5 -7],-1,5,-7,14902.713378121707
[-7 -1  5],-7,-1,5,14902.713378121707
[-8  0 -4],-8,0,-4,15391.456193804755
[ 0 -4  8],0,-4,8,15391.456193804755
[-4  8  0],-4,8,0,15391.456193804755
[-8  4  0],-8,4,0,15391.456193804755
[-8 -4  0],-8,-4,0,15391.456193804755
[ 0 -4 -8],0,-4,-8,15391.456193804755
[-4 -8  0],-4,-8,0,15391.456193804755
[-4  0  8],-4,0,8,15391.456193804755
[ 0 -8 -4],0,-8,-4,15391.456193804755
[-8  0  4],-8,0,4,15391.456193804755
[-4  0 -8],-4,0,-8,15391.456193804755
[ 0 -8  4],0,-8,4,15391.456193804755
[-5  7  3],-5,7,3,15677.390038109937
[-7  5  3],-7,5,3,15677.390038109937
[-5  7 -3],-5,7,-3,15677.390038109937
[-5  3  7],-5,3,7,15677.390038109937
[-7  3  5],-7,3,5,15677.390038109937
[-7  5 -3],-7,5,-3,15677.390038109937
[-5  3 -7],-5,3,-7,15677.390038109937
[-5 -3  7],-5,-3,7,15677.390038109937
[-3 -5 -7],-3,-5,-7,15677.390038109937
[-1 -9 -1],-1,-9,-1,15677.390038109937
[-9  1  1],-9,1,1,15677.390038109937
[-9  1 -1],-9,1,-1,15677.390038109937
[-1  9  1],-1,9,1,15677.390038109937
[-5 -7  3],-5,-7,3,15677.390038109937
[-3  7  5],-3,7,5,15677.390038109937
[-3  7 -5],-3,7,-5,15677.390038109937
[-7  3 -5],-7,3,-5,15677.390038109937
[-1 -1 -9],-1,-1,-9,15677.390038109937
[-3  5  7],-3,5,7,15677.390038109937
[-3  5 -7],-3,5,-7,15677.390038109937
[-1 -1  9],-1,-1,9,15677.390038109937
[-1 -9  1],-1,-9,1,15677.390038109937
[-9 -1  1],-9,-1,1,15677.390038109937
[-3 -5  7],-3,-5,7,15677.390038109937
[-1  1 -9],-1,1,-9,15677.390038109937
[-5 -7 -3],-5,-7,-3,15677.390038109937
[-3 -7  5],-3,-7,5,15677.390038109937
[-7 -5 -3],-7,-5,-3,15677.390038109937
[-7 -5  3],-7,-5,3,15677.390038109937
[-3 -7 -5],-3,-7,-5,15677.390038109937
[-1  1  9],-1,1,9,15677.390038109937
[-7 -3 -5],-7,-3,-5,15677.390038109937
[-7 -3  5],-7,-3,5,15677.390038109937
[-5 -3 -7],-5,-3,-7,15677.390038109937
[-9 -1 -1],-9,-1,-1,15677.390038109937
[-1  9 -1],-1,9,-1,15677.390038109937
[-6  6 -4],-6,6,-4,16142.695442285712
[-6  6  4],-6,6,4,16142.695442285712
[-4  6 -6],-4,6,-6,16142.695442285712
[-6  4 -6],-6,4,-6,16142.695442285712
[-4 -6 -6],-4,-6,-6,16142.695442285712
[-4 -6  6],-4,-6,6,16142.695442285712
[-6 -6  4],-6,-6,4,16142.695442285712
[-6 -4  6],-6,-4,6,16142.695442285712
[-6 -4 -6],-6,-4,-6,16142.695442285712
[-4  6  6],-4,6,6,16142.695442285712
[-6  4  6],-6,4,6,16142.695442285712
[-6 -6 -4],-6,-6,-4,16142.695442285712
[-9 -3  1],-9,-3,1,16415.549055197935
[-3  9  1],-3,9,1,16415.549055197935
[-1 -3  9],-1,-3,9,16415.549055197935
[-1 -3 -9],-1,-3,-9,16415.549055197935
[-1 -9  3],-1,-9,3,16415.549055197935
[-1 -9 -3],-1,-9,-3,16415.549055197935
[-9  3  1],-9,3,1,16415.549055197935
[-9  3 -1],-9,3,-1,16415.549055197935
[-3  9 -1],-3,9,-1,16415.549055197935
[-1  9 -3],-1,9,-3,16415.549055197935
[-9  1  3],-9,1,3,16415.549055197935
[-9  1 -3],-9,1,-3,16415.549055197935
[-3  1  9],-3,1,9,16415.549055197935
[-1  3 -9],-1,3,-9,16415.549055197935
[-3 -1  9],-3,-1,9,16415.549055197935
[-3 -1 -9],-3,-1,-9,16415.549055197935
[-3  1 -9],-3,1,-9,16415.549055197935
[-1  3  9],-1,3,9,16415.549055197935
[-9 -3 -1],-9,-3,-1,16415.549055197935
[-9 -1  3],-9,-1,3,16415.549055197935
[-9 -1 -3],-9,-1,-3,16415.549055197935
[-3 -9  1],-3,-9,1,16415.549055197935
[-1  9  3],-1,9,3,16415.549055197935
[-3 -9 -1],-3,-9,-1,16415.549055197935
[-4  8  4],-4,8,4,16860.49550039894
[-4  8 -4],-4,8,-4,16860.49550039894
[-8  4  4],-8,4,4,16860.49550039894
[-8  4 -4],-8,4,-4,16860.49550039894
[-4 -8 -4],-4,-8,-4,16860.49550039894
[-4  4 -8],-4,4,-8,16860.49550039894
[-4 -4  8],-4,-4,8,16860.49550039894
[-4 -4 -8],-4,-4,-8,16860.49550039894
[-8 -4  4],-8,-4,4,16860.49550039894
[-8 -4 -4],-8,-4,-4,16860.49550039894
[-4 -8  4],-4,-8,4,16860.49550039894
[-4  4  8],-4,4,8,16860.49550039894
[-5 -5 -7],-5,-5,-7,17121.914120804104
[-5 -5  7],-5,-5,7,17121.914120804104
[-5 -7  5],-5,-7,5,17121.914120804104
[-1  7 -7],-1,7,-7,17121.914120804104
[-1  7  7],-1,7,7,17121.914120804104
[-5  5  7],-5,5,7,17121.914120804104
[-1 -7 -7],-1,-7,-7,17121.914120804104
[-9 -3 -3],-9,-3,-3,17121.914120804104
[-3  9  3],-3,9,3,17121.914120804104
[-5  5 -7],-5,5,-7,17121.914120804104
[-3  9 -3],-3,9,-3,17121.914120804104
[-3  3  9],-3,3,9,17121.914120804104
[-3  3 -9],-3,3,-9,17121.914120804104
[-3 -3  9],-3,-3,9,17121.914120804104
[-3 -3 -9],-3,-3,-9,17121.914120804104
[-3 -9  3],-3,-9,3,17121.914120804104
[-3 -9 -3],-3,-9,-3,17121.914120804104
[-5  7  5],-5,7,5,17121.914120804104
[-1 -7  7],-1,-7,7,17121.914120804104
[-5 -7 -5],-5,-7,-5,17121.914120804104
[-5  7 -5],-5,7,-5,17121.914120804104
[-7 -5  5],-7,-5,5,17121.914120804104
[-9  3 -3],-9,3,-3,17121.914120804104
[-7 -7 -1],-7,-7,-1,17121.914120804104
[-7 -7  1],-7,-7,1,17121.914120804104
[-7 -5 -5],-7,-5,-5,17121.914120804104
[-9 -3  3],-9,-3,3,17121.914120804104
[-9  3  3],-9,3,3,17121.914120804104
[-7 -1  7],-7,-1,7,17121.914120804104
[-7 -1 -7],-7,-1,-7,17121.914120804104
[-7  1  7],-7,1,7,17121.914120804104
[-7  5 -5],-7,5,-5,17121.914120804104
[-7  5  5],-7,5,5,17121.914120804104
[-7  7 -1],-7,7,-1,17121.914120804104
[-7  7  1],-7,7,1,17121.914120804104
[-7  1 -7],-7,1,-7,17121.914120804104
[-6  2 -8],-6,2,-8,17548.960108666095
[-8  6 -2],-8,6,-2,17548.960108666095
[-8  6  2],-8,6,2,17548.960108666095
[-6  2  8],-6,2,8,17548.960108666095
[-10  -2   0],-10,-2,0,17548.960108666095
[-6 -2 -8],-6,-2,-8,17548.960108666095
[-8  2  6],-8,2,6,17548.960108666095
[-6 -8  2],-6,-8,2,17548.960108666095
[-6 -8 -2],-6,-8,-2,17548.960108666095
[  0 -10  -2],0,-10,-2,17548.960108666095
[-6 -2  8],-6,-2,8,17548.960108666095
[-8  2 -6],-8,2,-6,17548.960108666095
[  0 -10   2],0,-10,2,17548.960108666095
[-10   0  -2],-10,0,-2,17548.960108666095
[-8 -6  2],-8,-6,2,17548.960108666095
[-2  6 -8],-2,6,-8,17548.960108666095
[-2  6  8],-2,6,8,17548.960108666095
[ -2 -10   0],-2,-10,0,17548.960108666095
[ -2   0 -10],-2,0,-10,17548.960108666095
[-10   2   0],-10,2,0,17548.960108666095
[ 0 -2 10],0,-2,10,17548.960108666095
[-2 -6  8],-2,-6,8,17548.960108666095
[-8 -2 -6],-8,-2,-6,17548.960108666095
[-2  0 10],-2,0,10,17548.960108666095
[-2  8 -6],-2,8,-6,17548.960108666095
[  0  -2 -10],0,-2,-10,17548.960108666095
[-6  8  2],-6,8,2,17548.960108666095
[-10   0   2],-10,0,2,17548.960108666095
[-2 -8 -6],-2,-8,-6,17548.960108666095
[-2 -8  6],-2,-8,6,17548.960108666095
[-6  8 -2],-6,8,-2,17548.960108666095
[-2  8  6],-2,8,6,17548.960108666095
[-8 -6 -2],-8,-6,-2,17548.960108666095
[-2 -6 -8],-2,-6,-8,17548.960108666095
[-8 -2  6],-8,-2,6,17548.960108666095
[-2 10  0],-2,10,0,17548.960108666095
[-9  1 -5],-9,1,-5,17800.270659087517
[-7  3  7],-7,3,7,17800.270659087517
[-1  9  5],-1,9,5,17800.270659087517
[-7  3 -7],-7,3,-7,17800.270659087517
[-7  7  3],-7,7,3,17800.270659087517
[-5  9  1],-5,9,1,17800.270659087517
[-1 -5 -9],-1,-5,-9,17800.270659087517
[-1 -9  5],-1,-9,5,17800.270659087517
[-7  7 -3],-7,7,-3,17800.270659087517
[-3 -7 -7],-3,-7,-7,17800.270659087517
[-1  9 -5],-1,9,-5,17800.270659087517
[-1 -9 -5],-1,-9,-5,17800.270659087517
[-7 -3 -7],-7,-3,-7,17800.270659087517
[-3 -7  7],-3,-7,7,17800.270659087517
[-7 -7  3],-7,-7,3,17800.270659087517
[-1 -5  9],-1,-5,9,17800.270659087517
[-7 -7 -3],-7,-7,-3,17800.270659087517
[-1  5  9],-1,5,9,17800.270659087517
[-1  5 -9],-1,5,-9,17800.270659087517
[-9  5 -1],-9,5,-1,17800.270659087517
[-9  5  1],-9,5,1,17800.270659087517
[-5  9 -1],-5,9,-1,17800.270659087517
[-3  7 -7],-3,7,-7,17800.270659087517
[-3  7  7],-3,7,7,17800.270659087517
[-9  1  5],-9,1,5,17800.270659087517
[-5 -9 -1],-5,-9,-1,17800.270659087517
[-7 -3  7],-7,-3,7,17800.270659087517
[-5  1  9],-5,1,9,17800.270659087517
[-5 -1 -9],-5,-1,-9,17800.270659087517
[-9 -1  5],-9,-1,5,17800.270659087517
[-9 -5 -1],-9,-5,-1,17800.270659087517
[-5 -1  9],-5,-1,9,17800.270659087517
[-9 -5  1],-9,-5,1,17800.270659087517
[-9 -1 -5],-9,-1,-5,17800.270659087517
[-5 -9  1],-5,-9,1,17800.270659087517
[-5  1 -9],-5,1,-9,17800.270659087517
[-9 -3  5],-9,-3,5,18453.707700983912
[-9  5  3],-9,5,3,18453.707700983912
[-5  3 -9],-5,3,-9,18453.707700983912
[-9  3  5],-9,3,5,18453.707700983912
[-3  9 -5],-3,9,-5,18453.707700983912
[-9  3 -5],-9,3,-5,18453.707700983912
[-9 -5 -3],-9,-5,-3,18453.707700983912
[-3 -5 -9],-3,-5,-9,18453.707700983912
[-5  3  9],-5,3,9,18453.707700983912
[-5 -3  9],-5,-3,9,18453.707700983912
[-9 -5  3],-9,-5,3,18453.707700983912
[-3  5  9],-3,5,9,18453.707700983912
[-3 -9  5],-3,-9,5,18453.707700983912
[-5  9 -3],-5,9,-3,18453.707700983912
[-9 -3 -5],-9,-3,-5,18453.707700983912
[-3 -5  9],-3,-5,9,18453.707700983912
[-5 -9  3],-5,-9,3,18453.707700983912
[-5 -9 -3],-5,-9,-3,18453.707700983912
[-9  5 -3],-9,5,-3,18453.707700983912
[-3  9  5],-3,9,5,18453.707700983912
[-5  9  3],-5,9,3,18453.707700983912
[-3 -9 -5],-3,-9,-5,18453.707700983912
[-5 -3 -9],-5,-3,-9,18453.707700983912
[-3  5 -9],-3,5,-9,18453.707700983912
[-4 -2 10],-4,-2,10,18850.607036610683
[-2 -4 10],-2,-4,10,18850.607036610683
[ -2  -4 -10],-2,-4,-10,18850.607036610683
[ -2 -10   4],-2,-10,4,18850.607036610683
[-4  2 10],-4,2,10,18850.607036610683
[-10   2  -4],-10,2,-4,18850.607036610683
[ -4   2 -10],-4,2,-10,18850.607036610683
[-10   4  -2],-10,4,-2,18850.607036610683
[ -4 -10   2],-4,-10,2,18850.607036610683
[-10   2   4],-10,2,4,18850.607036610683
[-10   4   2],-10,4,2,18850.607036610683
[-2 10  4],-2,10,4,18850.607036610683
[ -2   4 -10],-2,4,-10,18850.607036610683
[-4 10 -2],-4,10,-2,18850.607036610683
[-4 10  2],-4,10,2,18850.607036610683
[-10  -2   4],-10,-2,4,18850.607036610683
[-2  4 10],-2,4,10,18850.607036610683
[ -4  -2 -10],-4,-2,-10,18850.607036610683
[ -4 -10  -2],-4,-10,-2,18850.607036610683
[-10  -2  -4],-10,-2,-4,18850.607036610683
[-10  -4   2],-10,-4,2,18850.607036610683
[-2 10 -4],-2,10,-4,18850.607036610683
[ -2 -10  -4],-2,-10,-4,18850.607036610683
[-10  -4  -2],-10,-4,-2,18850.607036610683
[-7 -5 -7],-7,-5,-7,19084.78504699317
[-7 -5  7],-7,-5,7,19084.78504699317
[-7 -7  5],-7,-7,5,19084.78504699317
[-5 -7  7],-5,-7,7,19084.78504699317
[-7 -7 -5],-7,-7,-5,19084.78504699317
[-7  5 -7],-7,5,-7,19084.78504699317
[-5  7  7],-5,7,7,19084.78504699317
[-7  5  7],-7,5,7,19084.78504699317
[-5  7 -7],-5,7,-7,19084.78504699317
[-5 -7 -7],-5,-7,-7,19084.78504699317
[-7  7 -5],-7,7,-5,19084.78504699317
[-7  7  5],-7,7,5,19084.78504699317
[ 0 -8 -8],0,-8,-8,19468.823231651608
[-8  8  0],-8,8,0,19468.823231651608
[-8 -8  0],-8,-8,0,19468.823231651608
[ 0 -8  8],0,-8,8,19468.823231651608
[-8  0 -8],-8,0,-8,19468.823231651608
[-8  0  8],-8,0,8,19468.823231651608
[-9  7 -1],-9,7,-1,19695.652125951943
[-9 -1 -7],-9,-1,-7,19695.652125951943
[-7 -9 -1],-7,-9,-1,19695.652125951943
[-1  7 -9],-1,7,-9,19695.652125951943
[-1  9 -7],-1,9,-7,19695.652125951943
[-9 -5  5],-9,-5,5,19695.652125951943
[-7 -9  1],-7,-9,1,19695.652125951943
[-9  5 -5],-9,5,-5,19695.652125951943
[-9  7  1],-9,7,1,19695.652125951943
[-1  7  9],-1,7,9,19695.652125951943
[-7  9 -1],-7,9,-1,19695.652125951943
[-7 -1 -9],-7,-1,-9,19695.652125951943
[-5  5 -9],-5,5,-9,19695.652125951943
[-9  1 -7],-9,1,-7,19695.652125951943
[-9 -5 -5],-9,-5,-5,19695.652125951943
[-1  9  7],-1,9,7,19695.652125951943
[-9 -1  7],-9,-1,7,19695.652125951943
[-5 -9 -5],-5,-9,-5,19695.652125951943
[-1 -7  9],-1,-7,9,19695.652125951943
[-9 -7  1],-9,-7,1,19695.652125951943
[-1 -7 -9],-1,-7,-9,19695.652125951943
