,species,name,sigma,eta,molecular_weight,a1,a2,a3,a4,a5,a6,a7,a8,a9
0,Air,Air,3.711,78.6,28.9651784,10099.5016,-196.827561,5.00915511,-0.00576101373,1.06685993e-05,-7.94029797e-09,2.18523191e-12,-176.796731,-3.92150099
1,Ar,Argon,3.542,93.3,39.948,0.0,0.0,2.5,0.0,0.0,0.0,0.0,-745.375,4.37967491
4,BCl3,Boron chloride,5.127,337.7,117.17,239000000.0,-4140000.0,54900.0,165.0,-0.246,0.000174,-4.85e-08,,
5,BF3,Boron fluoride,4.198,186.3,67.8062096,3465.584,21.33198651,1.641245191,0.01993755064,-2.15011993e-05,1.145669081e-08,-2.442285789e-12,-137945.5591,16.25533544
6,Br2,Bromine,4.296,507.9,159.808,7497.04754,-235.0884557,5.49193432,-0.002227573303,2.932401703e-06,-1.954889514e-09,5.31230789e-13,3521.47505,-1.96415157
7,C(CH3)4,"2,2-Dimethylpropane",6.464,193.4,72.14878,-89700000000.0,1290000000.0,-7200000.0,20600.0,-29.5,0.0216,-6.27e-06,,
8,C2H2,Acetylene,4.033,231.8,26.03728,-147000000.0,2790000.0,12800.0,140.0,-0.148,9.48e-05,-2.57e-08,,
9,C2H4,Ethylene,4.163,224.7,28.05316,-116361.327,2554.86052,-16.097503,0.0662578637,-7.88508639e-05,5.12522379e-08,-1.37033846e-11,-6176.23606,109.3340298
12,C2H5OH,Ethanol,4.53,362.6,46.06844,-234281.0005,4479.20556,-27.44830238,0.1088682495,-0.0001305313938,8.43737923e-08,-2.234568547e-11,-50222.4115,176.4836305
13,C2H6,Ethane,4.443,215.7,30.06904,-186205.03,3406.20069,-19.5171009,0.0756585003,-8.20419603e-05,5.06115446e-08,-1.31928808e-11,-27029.3711,129.8142962
14,C2N2,Cyanogen,4.361,348.6,52.03488,108239.1272,-1928.114409,15.53873056,-0.01821136999,2.778806789e-05,-1.89941106e-08,4.94961681e-12,44490.8866,-60.9089385
15,C3H6,Cyclopropane,4.807,248.9,42.07974,-1910000000.0,35400000.0,-211000.0,890.0,-1.0,0.000627,-1.64e-07,,
16,C3H8,Propane,5.118,237.1,44.09562,-243172.255,4653.4554,-29.3737787,0.118828803,-0.000137533319,8.80797565e-08,-2.34111288e-11,-35390.8414,184.0640638
17,C6H12,Cyclohexane,6.182,297.1,84.15948,-6670000000.0,118000000.0,-727000.0,2710.0,-3.33,0.00218,-5.86e-07,,
18,C6H6,Benzene,5.349,412.3,78.11184,-168282.654,4412.51452,-37.2206393,0.164191815,-0.000202321988,1.30966294e-07,-3.44888783e-11,-10392.5432,217.2442068
19,CCl4,Carbon tetrachloride,5.947,322.7,153.8227,1090000000.0,-18600000.0,145000.0,39.5,-0.101,8.65e-05,-2.64e-08,,
