,species,name,sigma,eta,molecular_weight,a1,a2,a3,a4,a5,a6,a7,a8,a9
20,CF4,Carbon tetrafluoride,4.662,134.0,88.0043128,9815.34964,116.3660743,-1.288527575,0.0395962388,-4.99633605e-05,3.125414298e-08,-7.84194211e-12,-113896.0831,29.38759613
22,CH2Cl2,Methylene chloride,4.898,356.3,84.93258,-251000000.0,8690000.0,-50900.0,415.0,-0.52,0.000345,-9.27e-08,,
23,CH3Br,Methyl bromide,4.118,449.2,94.93852,-71155.9799,1524.70717,-8.23044898,0.042399733,-4.94697872e-05,3.1944317e-08,-8.53123055e-12,-12512.73152,70.48135432
24,CH3CCH,Methylacetylene,4.761,251.8,40.06386,-356000000.0,8330000.0,-40700.0,411.0,-0.447,0.000285,-7.7e-08,,
25,CH3COCH3,Acetone,4.6,560.2,58.07914,-2280000000.0,42200000.0,-242000.0,991.0,-1.08,0.000658,-1.68e-07,,
28,CH3Cl,Methyl chloride,4.182,350.0,50.48752,-984000000.0,19800000.0,-108000.0,478.0,-0.552,0.000351,-9.24e-08,,
29,CH3OCH3,Methyl ther,4.307,395.0,46.06844,-269308.197,4300.69231,-21.5278233,0.0813183391,-8.2956883e-05,4.80193163e-08,-1.18870717e-11,-44102.2807,146.766362
30,CH3OH,Methanol,3.626,481.8,32.04186,-241663.747,4032.13812,-20.4640954,0.0690367933,-7.59890231e-05,4.59818438e-08,-1.15869945e-11,-44332.5697,140.013886
31,CH4,Methane,3.758,148.6,16.04246,-176654.573,2785.47782,-12.0193547,0.0391462588,-3.61165608e-05,2.01838794e-08,-4.95577215e-12,-23310.1156,89.0107539
32,CHCl3,Chloroform,5.389,340.2,119.37764,340000000.0,-3050000.0,29200.0,283.0,-0.371,0.000255,-6.99e-08,,
33,CO,Carbon monoxide,3.69,91.7,28.0101,14890.27557,-292.2250947,5.72445841,-0.00817613694,1.456885983e-05,-1.087733246e-08,3.027905485e-12,-13030.69697,-7.859179282
34,CO2,Carbon dioxide,3.941,195.2,44.0095,49437.8364,-626.429208,5.30181336,0.002503600571,-2.124700099e-07,-7.6914868e-10,2.849979913e-13,-45281.8986,-7.0487901
35,COS,Carbonyl sulfide,4.13,336.0,60.0761,85479.4437,-1319.473564,9.73530042,-0.0068709393,1.082346243e-05,-7.70570274e-09,2.07860056e-12,-11916.53394,-29.92011353
36,CS2,Carbon disulfide,4.483,467.0,76.1427,16132.8708,-464.908902,6.29771975,0.001889507853,3.022885468e-07,-1.736969474e-09,7.79198512e-13,14777.42331,-9.30213197
37,Cl2,Chlorine,4.217,316.0,70.906,346000000.0,-5550000.0,62100.0,-29.9,0.0317,-1.79e-05,4.26e-09,,
38,F2,Fluorine,3.357,112.6,37.9968064,10181.76308,22.74241183,1.97135304,0.00815160401,-1.14896009e-05,7.95865253e-09,-2.167079526e-12,-958.6943,11.30600296
39,H2,Hydrogen,2.827,59.7,2.01588,40783.2281,-800.918545,8.21470167,-0.0126971436,1.75360493e-05,-1.20286016e-08,3.36809316e-12,2682.48438,-30.4378866
40,H2O,Water,2.641,809.1,18.01528,-39479.6083,575.573102,0.931782653,0.00722271286,-7.34255737e-06,4.95504349e-09,-1.336933246e-12,-33039.7431,17.24205775
41,H2O2,Hydrogen peroxide,4.196,289.3,34.01468,-92795.3358,1564.748385,-5.97646014,0.0327074452,-3.93219326e-05,2.509255235e-08,-6.46504529e-12,-24940.04728,58.7717418
42,H2S,Hydrogen sulfide,3.623,301.1,34.08188,11970.21744,-102.8938513,4.23994637,-0.000801811267,4.47641988e-06,-2.747742643e-09,4.52748818e-13,-3114.034739,0.380763446
43,HBr,Hydrogen bromide,3.353,449.0,80.91194,25272.22498,-406.511027,6.04311661,-0.00771788287,1.149123213e-05,-7.29363328e-09,1.747406491e-12,-3510.41455,-9.90318629
44,HCN,Hydrogen cyanide,3.63,569.1,27.02538,90982.9783,-1238.65966,8.72132229,-0.00652828128,8.87274723e-06,-4.80890877e-09,9.31791773e-13,21219.7899,-27.4668668
45,HCl,Hydrogen chloride,3.339,344.7,36.46094,206000000.0,-3090000.0,52800.0,-48.3,0.062,-3.04e-05,4.92e-09,,
46,HF,Hydrogen fluoride,3.148,330.0,20.0063432,-3192.09897,59.8680772,3.055113902,0.001684673783,-3.28739483e-06,3.095923617e-09,-9.76469161e-13,-34184.4316,3.29490412
47,HI,Hydrogen iodide,4.211,288.7,127.91241,0.0,0.0,3.6963722,-0.0014224755,3.0131188e-06,-1.2666403e-09,-3.5098765e-14,2107.3581,4.08812111
48,He,Helium,2.551,10.22,4.002602,0.0,0.0,2.5,0.0,0.0,0.0,0.0,-745.375,0.928723974
49,Hg,Mercury,2.969,750.0,200.59,0.0,0.0,2.5,0.0,0.0,0.0,0.0,6636.90008,6.80020154
50,HgBr2,Mercuric bromide,5.08,686.2,360.398,0.0,0.0,6.7188921,0.0025782743,-2.9180237e-06,9.5818442e-10,1.3872307e-13,-12371.434,-0.413670823
53,I2,Iodine,5.16,474.2,253.80894,-5087.96877,-12.4958521,4.50421909,0.0001370962533,-1.390523014e-07,1.174813853e-10,-2.3375410430000002e-14,6213.46981,5.58383694
54,Kr,Krypton,3.655,178.9,83.8,0.0,0.0,2.5,0.0,0.0,0.0,0.0,-745.375,5.49095651
55,N2,Nitrogen,3.798,71.4,28.01348,22103.71497,-381.846182,6.08273836,-0.00853091441,1.384646189e-05,-9.62579362e-09,2.519705809e-12,710.846086,-10.76003316
56,N2O,Nitrous oxide,3.828,232.4,44.01288,42882.2597,-644.011844,6.03435143,0.0002265394436,3.47278285e-06,-3.62774864e-09,1.137969552e-12,11794.05506,-10.03128297
57,NH3,Ammonia,2.9,558.3,17.03056,-76812.2615,1270.951578,-3.89322913,0.02145988418,-2.183766703e-05,1.317385706e-08,-3.33232206e-12,-12648.86413,43.6601494
58,NO,Nitric oxide,3.492,116.7,30.00614,-11439.16503,153.6467592,3.43146873,-0.002668592368,8.48139912e-06,-7.68511105e-09,2.386797655e-12,9098.21441,6.72872749
59,NOCl,Nitrosyl chloride,4.112,395.3,65.4591,231000000.0,-5500000.0,77300.0,-50.7,0.106,-8.79e-05,2.65e-08,,
60,Ne,Neon,2.82,32.8,20.1797,0.0,0.0,2.5,0.0,0.0,0.0,0.0,-745.375,3.35532272
61,O2,Oxygen,3.467,106.7,31.9988,-34255.6342,484.700097,1.119010961,0.00429388924,-6.83630052e-07,-2.0233727e-09,1.039040018e-12,-3391.45487,18.4969947
62,PH3,Phosphine,3.981,251.5,33.997581,0.0,0.0,3.1581935,0.0024941492,9.0255253e-06,-1.0227904e-08,3.283425e-12,-461.237252,6.237224816
63,SF6,Sulfur hexafluoride,5.128,222.1,146.0564192,330944.792,-4737.57883,22.476832,0.0104709408,-2.56082868e-05,2.153842e-08,-6.51642939e-12,-125536.574,-109.17291
64,SO2,Sulfur dioxide,4.112,335.4,64.0648,-53108.4214,909.031167,-2.356891244,0.02204449885,-2.510781471e-05,1.446300484e-08,-3.36907094e-12,-41137.5208,40.4551486
65,SiF4,Silicon tetrafluoride,4.88,171.9,104.0791128,12407.7408,-123.578746,2.68300345,0.0326735447,-4.55316225e-05,3.08553744e-08,-8.26717045e-12,-195400.007,10.402945
66,SiH4,Silicon hydride,4.084,207.6,32.11726,78730.7459,-552.622091,2.49902928,0.0144209187,-8.46668624e-06,2.72583639e-09,-5.43577058e-13,6269.73134,4.96500005
67,SnBr4,Stannic bromide,6.388,563.7,438.326,-5832.84092,-427.019847,14.67466525,-0.00360426323,4.36668629e-06,-2.78587513e-09,7.26508787e-13,-40829.1645,-34.4710436
68,UF6,Uranium hexafluoride,5.967,236.8,352.0193292,1920000000.0,-34300000.0,280000.0,-133.0,0.111,-4.82e-05,8.33e-09,,
69,Xe,Xenon,4.047,231.0,131.29,0.0,0.0,2.5,0.0,0.0,0.0,0.0,-745.375,6.16441993
70,iso-C4H10,Isobutane,5.278,330.1,58.1222,-3830000000.0,70000000.0,-444000.0,1750.0,-2.08,0.00134,-3.55e-07,,
71,n-C3H7OH,n-Propyl alcohol,4.549,576.7,60.09502,-2620000000.0,51900000.0,-330000.0,1350.0,-1.59,0.00102,-2.69e-07,,
72,n-C4H10,n-Butane,4.687,531.4,58.1222,-3180000000.0,61800000.0,-389000.0,1580.0,-1.86,0.0012,-3.2e-07,,
73,n-C5H12,n-Pentane,5.784,341.1,72.14878,-2770000000.0,58300000.0,-362000.0,1530.0,-1.53,0.000819,-1.79e-07,,
74,n-C6H14,n-Hexane,5.949,399.3,86.17536,-5820000000.0,108000000.0,-663000.0,2520.0,-2.9,0.0018,-4.62e-07,,
