,species,name,sigma,eta,molecular_weight,a1,a2,a3,a4,a5,a6,a7,a8,a9
61,O2,Oxygen,3.467,106.7,31.9988,-1037939.022,2344.830282,1.819732036,0.001267847582,-2.188067988e-07,2.053719572e-11,-8.19346705e-16,-16890.10929,17.38716506
62,PH3,Phosphine,3.981,251.5,33.997581,0.0,0.0,3.3448794,0.0065770941,-2.6336755e-06,4.774466e-10,-3.235439e-14,-816.176752,3.954796216
63,SF6,Sulfur hexafluoride,5.128,222.1,146.0564192,-730673.374,-636.699172,19.4744178,-0.000189425174,4.17844694e-08,-4.78320471e-12,2.2130999000000002e-16,-151061.021,-81.4756614
64,SO2,Sulfur dioxide,4.112,335.4,64.0648,-112764.0116,-825.226138,7.61617863,-0.000199932761,5.65563143e-08,-5.45431661e-12,2.9182941019999996e-16,-33513.0869,-16.55773744
65,SiF4,Silicon tetrafluoride,4.88,171.9,104.0791128,-387374.88,-629.678137,13.4701704,-0.000188239549,4.16377526e-08,-4.77871268e-12,2.21619534e-16,-195789.581,-46.5231317
66,SiH4,Silicon hydride,4.084,207.6,32.11726,1290384.93,-7813.43076,18.2885625,-0.00197565052,4.156596e-07,-4.59688858e-11,2.0728601500000003e-15,47669.0657,-98.0172942
67,SnBr4,Stannic bromide,6.388,563.7,438.326,-51768.1292,-7.42612695,13.00619502,-2.692587978e-06,6.3367598e-10,-7.62708719e-14,3.671112e-18,-43001.6634,-24.71455118
68,UF6,Uranium hexafluoride,5.967,236.8,352.0193292,-3410000000.0,-1460000.0,191000.0,-0.436,9.62e-05,-1.1e-08,5.09e-13,,
69,Xe,Xenon,4.047,231.0,131.29,4025.22668,-12.09507521,2.514153347,-8.24810208e-06,2.530232618e-09,-3.89233323e-13,2.360439138e-17,-668.580073,6.06367644
70,iso-C4H10,Isobutane,5.278,330.1,58.1222,75300000000.0,-320000000.0,570000.0,-60.6,0.0114,-1.16e-06,4.85e-11,,
71,n-C3H7OH,n-Propyl alcohol,4.549,576.7,60.09502,63100000000.0,-264000000.0,472000.0,-46.4,0.00859,-8.68e-07,3.64e-11,,
72,n-C4H10,n-Butane,4.687,531.4,58.1222,76800000000.0,-326000000.0,574000.0,-62.0,0.0118,-1.22e-06,5.25e-11,,
73,n-C5H12,n-Pentane,5.784,341.1,72.14878,-25300000000.0,-89700000.0,454000.0,-26.3,0.0314,-5.32e-06,2.89e-10,,
74,n-C6H14,n-Hexane,5.949,399.3,86.17536,-31100000000.0,-73500000.0,469000.0,16.9,0.0207,-4.21e-06,2.45e-10,,
